Network Reference ID,Parent Network Reference ID,Substation Name,Substation Number,Asset Type,Latitude,Longitude,Bulk Supply Point Name,Primary Substation
15160,19,Aaronsons,260580,Primary,51.0216,-3.8749,BARNSTAPLE 33kV,AARONSONS 33kV
134188,106,Abbeywood Primary,113884,Primary,51.5046,-2.5613,LOCKLEAZE 33kV 'K' BAR,ABBEYWOOD 11kV
245330,245326,Aberaeron,590052,Primary,52.2333,-4.2567,,ABERAERON 11kV
245351,245350,Abercrave,560053,Primary,51.7943,-3.6912,,ABERCRAVE 11kV
245382,245381,Aberdare,550267,Primary,51.7133,-3.4532,,ABERDARE 11kV
245518,245530,Abergavenny Primary,530001,BSP,51.8391,-3.0138,,ABERGAVENNY 66kV
253108,245518,Abergavenny Primary,530001,Primary,51.8391,-3.0138,,ABERGAVENNY 11kV
245352,245381,Aberpergwm,560055,Primary,51.7391,-3.6404,,ABERPERGWM 11kV
245396,245455,Abersychan,530056,Primary,51.7208,-3.0671,,ABERSYCHAN 11kV
245414,,Aberthaw Power Station,510049,GSP,51.3882,-3.4026,,
245393,245447,Abertillery,550060,Primary,51.7273,-3.1353,,ABERTILLERY 11kV
245522,245387,Abertysswg,550061,Primary,51.7433,-3.266,,ABERTYSSWG 11kV
136,,Abham  S.G.P.,306004,GSP,50.4718,-3.7319,,
315341,314738,Abington 33/11kv,940057,Primary,52.2475,-0.8765,Northampton,Abington
315003,314616,Acreage Lane 33/11kv,890035,Primary,53.1952,-1.2082,Mansfield,Acreage Lane
266,36,Adelaide Road,330014,Primary,50.3692,-4.1488,PLYMOUTH 33kV,ADELAIDE ROAD 11kV
315200,314764,Albrighton 33/11kv,670122,Primary,52.6372,-2.2497,Bushbury 132 33,Albrighton 33 11
15121,12908,Alcombe,210190,Primary,51.1995,-3.4642,BOWHAYS CROSS 33kV,ALCOMBE 11kV
314897,314785,Alderton 66/11kv,670088,Primary,51.9912,-1.9983,Cheltenham 132 66,Alderton 66 11
223,29,Alexandra Road,330018,Primary,50.4078,-4.1357,ERNESETTLE 33kV,ALEXANDRA ROAD 11kV
315216,314706,Alford 33/11kv,900014,Primary,53.2545,0.1888,Skegness,Alford
314665,314556,Alfreton 33kv S Stn,890014,BSP,53.1088,-1.385,Alfreton,
315189,314660,Allenton 33 11kv S Stn,870043,Primary,52.8939,-1.4531,Derby South,Allenton
257,31,Alma Road,330020,Primary,50.3832,-4.1546,MILEHOUSE 33kV,ALMA ROAD 11kV
15045,106,Almondsbury,111935,Primary,51.5497,-2.569,BRADLEY STOKE 33kV,ALMONDSBURY 11kV
132,,Alverdiscott  S.G.P.,206001,GSP,51.0059,-4.1371,,
314907,314769,Alveston 33/11kv,790008,Primary,51.594,-2.5211,BRADLEY STOKE 33kV,Alveston 33/11kv
315148,314665,Ambergate 33/11kv,890077,Primary,53.0628,-1.4824,Alfreton,Ambergate
245341,245516,Ammanford Primary,520002,BSP,51.7724,-4.0301,,AMMANFORD 33kV
253535,245341,Ammanford Primary,520002,Primary,51.7724,-4.0301,,
315271,314820,Anderson Lane 33/11kv,900032,Primary,53.2425,-0.5393,Lincoln 33,Anderson Lane
315001,314612,Annesley (Kirkby) 11kv S Stn,890033,Primary,53.0884,-1.2451,Annesley (3 & 4),Annesley (Kirkby)
314612,314556,Annesley 33kv S Stn,890007,BSP,53.0883,-1.2458,Annesley (1 & 2),
314875,314582,Ansty 33 11kv S Stn,930061,Primary,52.4287,-1.4011,Coventry North,Ansty
314882,314577,Apollo 33/11kv,930068,Primary,52.638,-1.7102,Tamworth Town 33,Apollo
314892,314576,Arley 33/11kv,930078,Primary,52.5018,-1.5756,Nuneaton,Arley
271,36,Armada Street,330021,Primary,50.3765,-4.136,PLYMOUTH 33kV,ARMADA STREET 11kV
314979,314610,Arnold 33/11kv,880027,Primary,53.0076,-1.1242,Nottingham East,Arnold
315251,314693,Asfordby 11kv S Stn,910047,Primary,52.7811,-0.9292,,
315176,314657,Ashbourne 33 11kv S Stn,870030,Primary,53.0139,-1.7117,Winster,Ashbourne
380,45,Ashburton,340013,Primary,50.5193,-3.7449,TOTNES 33kV,ASHBURTON 11kV
315087,314670,Ashby De La Zouch 33/11kv,930101,Primary,52.7583,-1.4809,Gresley,Ashby-De-La-Zouch
245430,245437,Ashgrove,510064,Primary,51.5175,-3.2172,,ASHGROVE 11kV
15239,22,Ashwater,350022,Primary,50.7422,-4.2907,PYWORTHY 33kV,ASHWATER 11KV
15176,54,Athelstan Road,310020,Primary,50.723,-3.5229,EXETER CITY 33kV,ATHELSTAN ROAD 11kV
314890,314583,Atherstone 33/11kv,930076,Primary,52.5848,-1.5493,Tamworth,Atherstone
115,136677,Avonmouth Bsp,113367,BSP,51.5026,-2.6799,Avonmouth 33 kV,AVONMOUTH 33kV
15052,115,Avonmouth Docks,113277,Primary,51.504,-2.7008,AVONMOUTH 33kV,AVONMOUTH DOCKS
15054,115,Avonmouth Primary,113368,Primary,51.504,-2.6953,AVONMOUTH 33kV,AVONMOUTH 11kV
15083,85,Axbridge,180017,Primary,51.2855,-2.816,CHURCHILL 33kV,AXBRIDGE 11kV
15132,91,Axminster,250280,Primary,50.78,-2.9953,WOODCOTE 33kV BAR,AXMINSTER 11kV
133,,Axminster  S.G.P.,206006,GSP,50.7871,-2.9244,,
505722,314583,Baddesley 33kv Energy Park,939417,Primary,52.5869,-1.5855,,
315136,314657,Bakewell 33 11kv S Stn,890065,Primary,53.2164,-1.6893,Winster,Bakewell
315342,314742,Banbury Lane 33/11kv,940058,Primary,52.215,-0.9458,Northampton,Banbury Lane
314864,314580,Banbury Road 33 11kv S Stn,930051,Primary,52.2574,-1.565,Warwick 33,Banbury Road
315076,314652,Bardon 33/11kv,930091,Primary,52.7137,-1.3479,Coalville,Bardon Road
19,132,Barnstaple Bsp,260467,BSP,51.0673,-4.0545,Barnstaple 33 kV,BARNSTAPLE 33KV
15148,17,Barnstaple Quay,260250,Primary,51.0795,-4.063,EAST YELLAND 33kV,BARNSTAPLE QUAY 11kV
245423,245414,Barry Grid Primary,510088,BSP,51.4139,-3.2789,,Barry Grid Primary
252467,245423,Barry Grid Primary,510088,Primary,51.4139,-3.2789,,Barry Grid Primary
